x1,x2,y
-2.359345814528509333e+00,-2.155114063086773779e+00,-1.000000000000000000e+00
-2.400879056038228931e+00,-1.936594810465221750e+00,-1.000000000000000000e+00
-3.570366750459945671e-01,-1.726876321956898552e+00,-1.000000000000000000e+00
9.286073382399681053e-01,2.024159850676874317e+00,1.000000000000000000e+00
2.454353240190964236e+00,7.985879532102911904e-01,1.000000000000000000e+00
-5.022792753218421336e-01,4.363537735730937950e-01,-1.000000000000000000e+00
1.204145004395214213e+00,-7.778610496446791700e-01,1.000000000000000000e+00
-1.878279022019580413e+00,-7.512614215786509453e-01,-1.000000000000000000e+00
-8.206575066605662494e-01,-9.074335756139301212e-01,-1.000000000000000000e+00
5.273813301637884088e-01,-4.110881735405547133e-01,-1.000000000000000000e+00
2.089610075257415822e+00,4.300773091846071594e+00,1.000000000000000000e+00
-1.115336694182178290e+00,-3.195603398019124519e+00,-1.000000000000000000e+00
-3.780737644500371530e-01,1.543116749534688470e+00,1.000000000000000000e+00
-1.795091090273982726e+00,-1.637233071081626745e+00,-1.000000000000000000e+00
2.007985851070565708e+00,2.174508304798854041e+00,1.000000000000000000e+00
6.133860682579590495e-01,1.379687259077004402e+00,1.000000000000000000e+00
2.522696790883646845e+00,3.294719626365170129e-01,1.000000000000000000e+00
2.522506984762811655e+00,4.144485613457735695e+00,1.000000000000000000e+00
2.185000652988873249e-01,2.370943375839895229e+00,1.000000000000000000e+00
1.438122297537866023e+00,1.492526285599205416e+00,1.000000000000000000e+00
-6.629466503075169825e-01,-1.829467287358355287e+00,-1.000000000000000000e+00
-2.714372338608037616e+00,-1.692637306581168399e+00,-1.000000000000000000e+00
-3.364196546864941517e-01,1.994319002302435084e+00,1.000000000000000000e+00
2.017980574145245676e+00,1.347128154306928893e+00,1.000000000000000000e+00
2.382199440161790083e+00,1.557173682395001313e+00,1.000000000000000000e+00
2.334632770337282448e+00,1.807059418302905396e-01,1.000000000000000000e+00
-1.879510098440440924e+00,-2.486659434326276674e+00,-1.000000000000000000e+00
1.824135865131975009e-01,8.697669698987700038e-01,1.000000000000000000e+00
-8.822288665346555980e-02,2.685738550069211250e+00,1.000000000000000000e+00
-7.805721824277105370e-01,-9.355975381585150963e-01,-1.000000000000000000e+00
-3.397266662008249227e+00,-5.271553594675376653e-01,-1.000000000000000000e+00
-1.789122605802626609e+00,-2.235357617676089426e+00,-1.000000000000000000e+00
-1.462413864191428381e+00,-2.463454219873677964e+00,-1.000000000000000000e+00
-1.398673213466788301e+00,-2.030893671245180609e+00,-1.000000000000000000e+00
-9.944167472798259855e-01,-1.383369616953209258e+00,-1.000000000000000000e+00
2.924818889574578140e+00,7.652198923054789326e-01,1.000000000000000000e+00
-1.512708973365437526e+00,-2.915064173767030642e+00,-1.000000000000000000e+00
-1.164174777032687569e+00,-1.180878551531880261e+00,-1.000000000000000000e+00
-9.919311569454883903e-01,-9.581916365755653864e-01,-1.000000000000000000e+00
9.655933386994588474e-01,-3.595253429929268219e+00,-1.000000000000000000e+00
1.442128323645272214e+00,1.545178805582276160e+00,1.000000000000000000e+00
2.004727348195980863e+00,1.709841006655242968e+00,1.000000000000000000e+00
3.179350519586528812e+00,1.084438174503366437e+00,1.000000000000000000e+00
-2.020579870084215912e-01,2.382028077094566765e+00,1.000000000000000000e+00
1.672446106420199419e+00,1.187921131336578284e+00,1.000000000000000000e+00
-8.958120623405541050e-01,-6.428735310758050270e-01,-1.000000000000000000e+00
1.287829512700639611e+00,5.911728392253128295e-01,1.000000000000000000e+00
4.033844492254772263e-01,-1.140034820237130431e+00,-1.000000000000000000e+00
-7.361184092120353073e-01,-2.087754494096174529e+00,-1.000000000000000000e+00
1.824954485100378720e+00,2.126955096793911260e+00,1.000000000000000000e+00
1.892301602736719213e+00,2.393078925151677083e+00,1.000000000000000000e+00
-1.878692510626492229e+00,-6.264793202629181934e-01,-1.000000000000000000e+00
-2.507390712117340215e+00,-2.096558547173765774e+00,-1.000000000000000000e+00
-2.242114627661546677e+00,-1.996520861246034118e+00,-1.000000000000000000e+00
1.935122202888559517e-01,-3.311293858662801348e+00,-1.000000000000000000e+00
-1.483596534150639412e+00,-1.556534482283207232e+00,-1.000000000000000000e+00
8.645894032542251750e-01,3.150591294723083635e+00,1.000000000000000000e+00
9.108186128804505177e-01,6.747824445829457840e-01,1.000000000000000000e+00
-1.679812587819997649e-01,-1.769681804444753537e+00,-1.000000000000000000e+00
-2.465638953050192761e+00,-1.522607675866818111e+00,-1.000000000000000000e+00
-6.240966002720980121e-01,-1.766328738418883493e+00,-1.000000000000000000e+00
1.655757765212976684e+00,1.867356869042302581e+00,1.000000000000000000e+00
1.445811597066431142e+00,2.118193764075129604e+00,1.000000000000000000e+00
-1.780244060455119071e+00,-2.983829341047020911e+00,-1.000000000000000000e+00
8.903608879095887829e-01,2.154452699887624778e+00,1.000000000000000000e+00
2.160085562074434140e+00,2.436872144318505740e+00,1.000000000000000000e+00
2.255110858425775522e+00,6.210703495764630100e-01,1.000000000000000000e+00
-7.990766817323767812e-01,-4.576068013528844514e-01,-1.000000000000000000e+00
-1.530159197524532555e+00,-1.696694268852936283e+00,-1.000000000000000000e+00
2.287753563599377316e-01,-2.554333968379782327e+00,-1.000000000000000000e+00
2.257668197483707395e+00,5.467224090108240286e-01,1.000000000000000000e+00
1.718662574610892779e+00,3.277440544769177677e+00,1.000000000000000000e+00
9.173657667061582144e-01,2.803113954432251642e+00,1.000000000000000000e+00
1.563244813359612850e+00,-5.085067502155578012e-01,1.000000000000000000e+00
9.472859121874077637e-02,1.644324683863918946e+00,1.000000000000000000e+00
-7.557505449280269572e-01,-8.035737624950074487e-01,-1.000000000000000000e+00
1.695636866180061375e+00,-5.811118334159655063e-01,1.000000000000000000e+00
-9.940466247274493128e-02,-2.372686557272876584e+00,-1.000000000000000000e+00
-1.841450004591797640e+00,-5.003953553047479907e-01,-1.000000000000000000e+00
1.356031694636901541e+00,2.934609135772382693e+00,1.000000000000000000e+00
-1.234578599745904448e+00,-2.222885328417056883e-02,-1.000000000000000000e+00
9.415469532702845923e-01,7.597715762766498182e-01,1.000000000000000000e+00
2.194710472584067151e+00,2.612467024926310888e+00,1.000000000000000000e+00
-1.968342838034299991e+00,-2.554855599968286484e-01,-1.000000000000000000e+00
6.922773175070651153e-01,5.659232061946467551e-01,1.000000000000000000e+00
-4.263971232957516122e+00,-1.692059013366058684e+00,-1.000000000000000000e+00
2.617887791119859919e+00,3.014096544477101070e+00,1.000000000000000000e+00
2.667429144529593898e+00,5.945089530435844205e-01,1.000000000000000000e+00
2.256270836831884008e-01,1.649689153518165474e+00,1.000000000000000000e+00
7.741157563289132737e-01,1.149247388914081736e+00,1.000000000000000000e+00
3.969515048741989016e+00,1.919945923978575886e+00,1.000000000000000000e+00
1.713415100900914867e+00,6.679953949981187744e-01,1.000000000000000000e+00
-2.945161353793899206e-01,-9.856009740954576603e-01,-1.000000000000000000e+00
1.262974468384774340e+00,2.048052880478106630e+00,1.000000000000000000e+00
-1.356488055199684739e+00,-1.243015103349241812e+00,-1.000000000000000000e+00
9.158286313122072642e-01,2.169709126281579969e+00,1.000000000000000000e+00
-7.512126615163516874e-01,-3.582842714211728286e+00,-1.000000000000000000e+00
-5.840116100081260697e-02,-2.148496361048382486e+00,-1.000000000000000000e+00
2.629417877395345826e+00,1.117335281566905536e+00,1.000000000000000000e+00
-9.742499766332354261e-01,-2.138867743072261352e+00,-1.000000000000000000e+00
-6.442974201671751722e-01,3.022066125089822197e+00,1.000000000000000000e+00
1.775537825627948596e-01,6.438505820476310149e-01,-1.000000000000000000e+00
-3.519367791192836492e+00,-1.315344455204431107e+00,-1.000000000000000000e+00
-3.377273283320023189e+00,-2.592114770617842012e+00,-1.000000000000000000e+00
3.615673883901335373e+00,1.181744511157045485e+00,1.000000000000000000e+00
-1.647637443825475057e+00,-7.435734348874804001e-01,-1.000000000000000000e+00
2.427105137932528134e+00,1.194431393066819336e+00,1.000000000000000000e+00
-1.963097229607875027e+00,-3.258880647724999413e+00,-1.000000000000000000e+00
-1.452406684706438522e+00,-6.211357806448991603e-01,-1.000000000000000000e+00
2.269778666493012409e+00,1.768799662036247167e+00,1.000000000000000000e+00
3.477402252032034902e+00,1.674191032501941567e+00,1.000000000000000000e+00
1.161010626253088596e+00,9.504799153721221749e-01,1.000000000000000000e+00
3.055079944861214258e+00,1.525997793694585880e+00,1.000000000000000000e+00
9.305785992325850131e-01,8.440841847345855742e-01,1.000000000000000000e+00
1.678852556136772867e+00,1.083503571388048314e+00,1.000000000000000000e+00
-1.663719720423922466e+00,-1.145291862482200607e+00,-1.000000000000000000e+00
-1.119559807752610991e+00,-1.923306213515421526e+00,-1.000000000000000000e+00
1.679973837750218246e+00,1.174820852252297154e+00,1.000000000000000000e+00
2.469750184868695353e+00,3.662742102752315709e+00,1.000000000000000000e+00
-1.524355489909173356e+00,-1.904360093880985039e+00,-1.000000000000000000e+00
-1.922556148042060986e+00,-1.380426755605509870e+00,-1.000000000000000000e+00
2.399847486023865883e+00,1.040042032827803276e+00,1.000000000000000000e+00
2.257650672686920323e+00,2.703395116113392227e+00,1.000000000000000000e+00
-4.328251468864110496e-01,-7.279729769980614051e-02,1.000000000000000000e+00
-1.730767687844640301e+00,-1.346983240013029048e+00,-1.000000000000000000e+00
-2.503027212591160122e+00,-1.462225676032343324e+00,-1.000000000000000000e+00
-1.196626711957596845e+00,-1.164325807824349912e+00,-1.000000000000000000e+00
-3.295735388103958385e+00,-1.921243667624860096e+00,-1.000000000000000000e+00
3.090775257926028363e-01,2.032582086940703192e+00,1.000000000000000000e+00
-2.904423256662992170e+00,-1.452777283775867900e+00,-1.000000000000000000e+00
-3.919341049652791398e-01,-1.110982750062680324e+00,-1.000000000000000000e+00
-2.160477421256996600e+00,-2.235687728737977942e+00,-1.000000000000000000e+00
-1.543242270737035238e-01,-1.468475920646660882e+00,-1.000000000000000000e+00
